reference,date,description,amount,account
GL-1001,2026-08-25,Vendor payment - Buerotech GmbH,1250.00,Accounts Payable
GL-1002,2026-08-25,Customer receipt - Nordwind Retail,3400.00,Accounts Receivable
GL-1003,2026-08-26,Vendor payment - Papier und Co,540.50,Accounts Payable
GL-1004,2026-08-26,Customer receipt - Alpen Handel,2100.00,Accounts Receivable
GL-1005,2026-08-27,Vendor payment - Strom AG,980.00,Accounts Payable
GL-1006,2026-08-27,Customer receipt - Berg Logistik,1750.00,Accounts Receivable
GL-1007,2026-08-27,Vendor payment - Reinigung Plus,320.00,Accounts Payable
GL-1008,2026-08-28,Customer receipt - Fluss Consulting,4200.00,Accounts Receivable
GL-1009,2026-08-28,Vendor payment - IT Service Nord,1600.00,Accounts Payable
GL-1010,2026-08-28,Customer receipt - Sonnen Vertrieb,890.00,Accounts Receivable
GL-1011,2026-08-29,Vendor payment - Druckerei Meyer,410.00,Accounts Payable
GL-1012,2026-08-29,Customer receipt - Weser Import,3050.00,Accounts Receivable
GL-1013,2026-08-29,Vendor payment - Buero Mobiliar,1980.00,Accounts Payable
GL-1014,2026-08-30,Vendor payment - Fenster Technik,2750.00,Accounts Payable
GL-1015,2026-08-30,Customer receipt - Havel Systems,1420.00,Accounts Receivable
GL-1016,2026-08-30,Vendor payment - Kurier Express,275.00,Accounts Payable
GL-1017,2026-08-31,Customer receipt - Rhein Baustoffe,3600.00,Accounts Receivable
GL-1018,2026-08-31,Vendor payment - Software Lizenz GmbH,1150.00,Accounts Payable
GL-1019,2026-08-31,Customer receipt - Isar Werbung,980.00,Accounts Receivable
GL-1020,2026-09-01,Vendor payment - Facility Service,650.00,Accounts Payable
GL-1021,2026-09-01,Customer receipt - Donau Elektronik,2300.00,Accounts Receivable
GL-1022,2026-09-01,Vendor payment - Lager Logistik,1425.00,Accounts Payable
GL-1022,2026-09-01,Vendor payment - Lager Logistik,1425.00,Accounts Payable
GL-1023,2026-09-02,Customer receipt - Spree Media,1980.00,Accounts Receivable
GL-1024,2026-09-02,Vendor payment - Versicherung Nord,2200.00,Accounts Payable
GL-1025,2026-09-02,Customer receipt - Neckar Handwerk,1340.00,Accounts Receivable
GL-1026,2026-09-03,Vendor payment - Wartung Technik,780.00,Accounts Payable
GL-1027,2026-09-03,Customer receipt - Main Vertrieb,2650.00,Accounts Receivable
GL-1028,2026-09-03,Vendor payment - Buerobedarf Zentrum,395.00,Accounts Payable
GL-1029,2026-09-04,Customer receipt - Elbe Trading,1870.00,Accounts Receivable
GL-1030,2026-09-04,Vendor payment - Transport Schmidt,2450.00,Accounts Payable
GL-1031,2026-09-04,Customer receipt - Ruhr Systems,3120.00,Accounts Receivable
GL-1032,2026-09-05,Vendor payment - Energie Plus,1090.00,Accounts Payable
GL-1033,2026-09-05,Customer receipt - Ems Consulting,760.00,Accounts Receivable
GL-1034,2026-09-05,Vendor payment - Sicherheit GmbH,1340.00,Accounts Payable
GL-1035,2026-09-05,Customer receipt - Oder Handel,2980.00,Accounts Receivable
GL-1036,2026-09-05,Vendor payment - Kantine Service,225.00,Accounts Payable
GL-1037,2026-09-05,Customer receipt - Saar Metall,1650.00,Accounts Receivable
GL-1038,2026-09-05,Vendor payment - Telekom Business,540.00,Accounts Payable
GL-1039,2026-09-05,Customer receipt - Lahn Werke,2100.00,Accounts Receivable
GL-1040,2026-09-05,Vendor payment - Buero Reinigung,310.00,Accounts Payable
GL-1041,2026-08-29,Customer receipt - Mosel Distribution,1975.00,Accounts Receivable
