reference,date,description,amount
GL-1001,2026-08-25,Buerotech GmbH,1250.00
GL-1002,2026-08-25,Nordwind Retail,3400.00
GL-1003,2026-08-26,Papier und Co,540.50
GL-1004,2026-08-26,Alpen Handel,2100.00
GL-1005,2026-08-27,Strom AG,980.00
GL-1006,2026-08-27,Berg Logistik,1750.00
GL-1007,2026-08-27,Reinigung Plus,320.00
GL-1008,2026-08-28,Fluss Consulting,4200.00
GL-1009,2026-08-28,IT Service Nord,1600.00
GL-1010,2026-08-28,Sonnen Vertrieb,890.00
GL-1011,2026-08-29,Druckerei Meyer,410.00
GL-1012,2026-08-29,Weser Import,3050.00
GL-1013,2026-08-29,Buero Mobiliar,1980.00
GL-1015,2026-08-30,Havel Systems,1420.00
GL-1016,2026-08-30,Kurier Express,275.00
GL-1017,2026-08-31,Rhein Baustoffe,3600.00
GL-1018,2026-08-31,Software Lizenz GmbH,1150.00
GL-1019,2026-08-31,Isar Werbung,980.00
GL-1020,2026-09-01,Facility Service,650.00
GL-1021,2026-09-01,Donau Elektronik,2300.00
GL-1022,2026-09-01,Lager Logistik,1425.00
GL-1023,2026-09-02,Spree Media,1980.00
GL-1024,2026-09-02,Versicherung Nord,2200.00
GL-1025,2026-09-02,Neckar Handwerk,1340.00
GL-1026,2026-09-03,Wartung Technik,780.00
GL-1027,2026-09-03,Main Vertrieb,2650.00
GL-1028,2026-09-03,Buerobedarf Zentrum,395.00
GL-1029,2026-09-04,Elbe Trading,1870.00
GL-1030,2026-09-04,Transport Schmidt,2540.00
GL-1031,2026-09-04,Ruhr Systems,3120.00
GL-1032,2026-09-05,Energie Plus,1090.00
GL-1033,2026-09-05,Ems Consulting,760.00
GL-1034,2026-09-05,Sicherheit GmbH,1340.00
GL-1035,2026-09-05,Oder Handel,2980.00
GL-1036,2026-09-05,Kantine Service,225.00
GL-1037,2026-09-05,Saar Metall,1650.00
GL-1038,2026-09-05,Telekom Business,540.00
GL-1039,2026-09-05,Lahn Werke,2100.00
GL-1040,2026-09-05,Buero Reinigung,310.00
GL-1041,2026-09-02,Mosel Distribution,1975.00
BANK-FEE-01,2026-09-05,Monthly account maintenance fee,45.00
